project	totalCases	success_passed	success_fail	exception_passed	exception_fail
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	3	0	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
crowdsale	7	3	0	4	0
crowdsale	7	2	1	4	0
crowdsale	7	2	1	4	0
curve-bonded-tokens	122	36	18	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	36	18	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	36	18	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	36	18	60	8
curve-bonded-tokens	122	36	18	60	8
curve-bonded-tokens	122	36	18	60	8
curve-bonded-tokens	122	37	17	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	36	18	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	37	17	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	36	18	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	35	19	60	8
curve-bonded-tokens	122	37	17	60	8
curve-bonded-tokens	122	35	19	60	8
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
debug-solidity	10	8	2	0	0
equilibrium-bonding-curve	48	23	16	7	2
equilibrium-bonding-curve	48	22	17	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	22	17	7	2
equilibrium-bonding-curve	48	22	17	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	22	17	7	2
